x.bmi5cat,income2,x.state,Freq
2,7,28,46275
3,7,28,89393
4,7,28,90739
1,8,28,3627
2,8,28,95911
3,8,28,143492
4,8,28,142157
1,77,28,9064
2,77,28,76464
3,77,28,77568
4,77,28,75954
1,99,28,1137
2,99,28,37618
3,99,28,34990
4,99,28,37065
1,1,29,7432
2,1,29,60190
3,1,29,30158
4,1,29,66019
1,2,29,3376
2,2,29,45683
3,2,29,53740
4,2,29,66249
1,3,29,9616
2,3,29,64986
3,3,29,84029
4,3,29,84589
1,4,29,10687
2,4,29,112684
3,4,29,94066
4,4,29,133710
1,5,29,8510
2,5,29,122827
3,5,29,113495
4,5,29,139843
1,6,29,6015
2,6,29,150597
3,6,29,163238
4,6,29,214404
1,7,29,4474
2,7,29,177727
3,7,29,236894
4,7,29,252644
1,8,29,15388
2,8,29,359322
3,8,29,442011
4,8,29,385048
1,77,29,8917
2,77,29,197539
3,77,29,105117
4,77,29,126166
1,99,29,2029
2,99,29,115400
3,99,29,103387
4,99,29,99801
1,1,30,655
2,1,30,8679
3,1,30,8794
4,1,30,9813
1,2,30,2111
2,2,30,9009
3,2,30,10443
4,2,30,10773
1,3,30,2011
2,3,30,14152
3,3,30,15063
4,3,30,9114
1,4,30,1675
2,4,30,20978
3,4,30,21986
4,4,30,18163
1,5,30,1237
2,5,30,21526
3,5,30,26989
4,5,30,18717
1,6,30,3284
2,6,30,35838
3,6,30,36482
4,6,30,29099
1,7,30,598
2,7,30,43958
3,7,30,39875
4,7,30,36147
1,8,30,1978
2,8,30,62733
3,8,30,75791
4,8,30,47892
1,77,30,1626
2,77,30,29401
3,77,30,22257
4,77,30,14833
1,99,30,1393
2,99,30,21549
3,99,30,23216
4,99,30,12961
1,1,31,712
2,1,31,14261
3,1,31,12166
4,1,31,15514
1,2,31,796
2,2,31,15188
3,2,31,17987
4,2,31,17347
1,3,31,1114
2,3,31,21629
3,3,31,22318
4,3,31,28579
1,4,31,2095
2,4,31,24818
3,4,31,25723
4,4,31,33461
1,5,31,565
2,5,31,40832
3,5,31,38599
4,5,31,42036
1,6,31,2230
2,6,31,52518
3,6,31,62223
4,6,31,70155
1,7,31,1717
2,7,31,56724
3,7,31,79485
4,7,31,80809
1,8,31,3559
2,8,31,133875
3,8,31,168294
4,8,31,134166
1,77,31,3108
2,77,31,28603
3,77,31,20907
4,77,31,26590
1,99,31,900
2,99,31,17407
3,99,31,24059
4,99,31,14650
1,1,32,355
2,1,32,18293
3,1,32,13665
4,1,32,24555
1,2,32,1785
2,2,32,23341
3,2,32,18456
4,2,32,28899
1,3,32,2938
2,3,32,34524
3,3,32,43680
4,3,32,32757
1,4,32,4165
2,4,32,36994
